step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,2,0,0,0,0,0,0,0,1.0177955740938607,99068.15000000002,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.020419527531303393,2.8001428534987283,0.8311049501816453,97293,99.95582312813347
2,11,4,4,4,2,2,4,4,2,4,2,8,2,2,0,552,4,0,0,0,0,0,0,0,1.03548680981343,100790.14412000001,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.03845054290469289,5.087159529093815,0.7294990165806139,97069,99.72569244678228
3,11,4,4,4,2,2,4,4,2,5,1,8,2,2,0,552,6,0,0,0,0,0,0,0,1.0530068988253063,102495.47950406001,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.05487941700491069,7.011684061607079,0.6595864811463371,96441,99.0805046437084
4,11,4,4,4,2,2,4,4,2,5,1,8,2,2,0,552,8,0,0,0,0,0,0,0,1.0703555801056,104184.13074515868,0.0,19.72441777383,True,99.98664420152873,0.9998664420152873,0.07005179653523706,8.672435525840584,0.607745024255688,95172,97.77677323908934
5,11,4,4,4,2,2,4,4,2,4,2,8,2,2,0,552,10,0,0,0,0,0,0,0,1.0875332351628824,105856.13497781432,0.0,23.915715260158258,True,99.98767157064191,0.9998767157064191,0.0841897981683992,10.134445983101788,0.5673668912511514,93049,95.59566861181885
6,11,4,4,4,2,2,4,4,2,4,2,8,2,2,0,552,11,0,0,0,0,0,0,0,1.1045408437694142,107511.5875691397,0.0,27.918774926803334,True,99.9712336648311,0.999712336648311,0.09746780275499457,11.441577643218022,0.5348074506611007,89920,92.38103065669434
7,11,4,4,4,2,2,4,4,2,3,3,8,2,2,0,552,13,0,0,0,0,0,0,0,1.1213842011536825,109151.05260349484,0.0,31.749462834228687,True,99.97328840305745,0.9997328840305745,0.11000779873816455,12.652270751710422,0.5078510815544506,85777,88.12464042081038
8,11,5,4,4,2,2,4,4,2,4,2,8,1,2,0,552,15,0,0,0,0,0,0,0,1.138071672468927,110775.34431143547,0.0,35.42357632101625,True,99.97431577217063,0.9997431577217063,0.12188445172668537,13.8013013680516,0.4850661817185594,80632,82.8388263335251
9,11,5,4,4,2,2,4,4,2,4,2,8,1,1,0,552,17,0,0,0,0,0,0,0,1.1545932553691194,112383.4891046086,0.0,38.95562378837006,True,99.9753431412838,0.999753431412838,0.13323380281820218,14.860925029529684,0.4654735080845373,74711,76.75577381441605
10,10,5,3,4,2,2,4,4,2,4,2,8,1,1,0,552,19,0,0,1,0,0,0,0,1.170953951104922,113975.9737847487,0.0,42.358411983660474,True,99.98047998684967,0.9998047998684967,0.14408961624110653,15.84312415927438,0.4483892517393998,68156,70.02136927755403
11,10,5,3,4,2,2,4,4,2,5,1,8,1,1,0,552,20,0,0,1,0,0,0,0,1.1871531362274546,115552.73766783552,0.0,45.64302475425594,True,99.98047998684967,0.9998047998684967,0.1545465804783547,16.75786259451748,0.43331603013650033,61159,62.8328675926687
12,10,5,2,4,2,2,4,4,2,5,2,8,1,1,0,552,21,0,0,1,0,0,0,0,1.2031969457248413,117114.37790907314,0.0,48.81897152355655,True,99.97842524862332,0.9997842524862333,0.16462696359349807,17.613478124254,0.419882499194459,54013,55.491287909920274
13,10,3,2,4,2,2,4,4,2,4,3,7,1,1,0,552,22,0,0,1,0,0,0,0,1.2190909458869537,118661.43630885251,0.0,51.89439340095108,True,99.98150735596285,0.9998150735596285,0.17435534566823127,18.41698002915827,0.4078099658480711,46790,48.07060080545739
14,10,3,2,4,2,2,4,4,2,4,2,7,1,1,0,552,23,0,0,1,0,0,0,0,1.2348330486453505,120193.70962294383,0.0,54.876273719741086,True,99.97739787951015,0.9997739787951015,0.1837710022586563,19.174380625312562,0.3968777208046576,39926,41.01873921262431
15,10,3,2,4,2,2,4,4,2,3,3,7,1,1,0,552,26,0,0,1,0,0,0,0,1.250419011204865,121710.78487463674,0.0,57.77063020125226,True,99.97842524862332,0.9997842524862333,0.19293940450964742,19.890691176110764,0.3869158486593181,33741,34.66446124763705
16,10,3,2,4,2,2,4,4,1,3,3,7,1,0,0,552,26,0,0,1,0,0,0,0,1.2658597375953742,123213.72341858335,0.0,60.582681020702246,True,99.97842524862332,0.9997842524862333,0.20184400520510976,20.572377347729628,0.3777889025441642,28378,29.154680693679623
17,10,3,2,4,2,2,4,4,1,4,2,7,1,0,0,552,28,0,0,1,0,0,0,0,1.2811485958836477,124701.87972893074,0.0,63.31698412385874,True,99.97637051039698,0.9997637051039697,0.21052810055307553,21.22124845130536,0.3693870321032703,23919,24.57364181803238
18,10,3,2,4,2,1,4,4,1,4,2,7,1,0,0,552,30,0,0,1,0,0,0,0,1.2962865339511318,126175.34606866736,0.0,65.97755215262909,True,99.9753431412838,0.999753431412838,0.21916315339558862,21.839921921240574,0.36161991423589823,20289,20.8442919372072
19,10,3,2,3,2,1,5,4,1,5,1,7,1,0,0,552,32,0,0,1,0,0,0,0,1.3112732033894372,127634.08852511426,0.0,68.56794635182987,True,99.97637051039698,0.9997637051039697,0.22775254627830666,22.430886001722413,0.35441512404825654,17365,17.840264650283554
20,10,3,2,3,2,1,5,4,1,4,2,7,1,0,0,552,35,0,0,1,0,0,0,0,1.3261098006549865,129078.22355655377,0.0,71.09135291366964,True,99.97842524862332,0.9997842524862333,0.236167100715499,23.209276268113673,0.34770887412193285,15311,15.73004849182214
21,10,3,2,3,2,1,5,4,1,4,2,7,1,0,0,552,37,0,0,1,0,0,0,0,1.3407947035300214,130507.59326279815,0.0,73.55064490719903,True,99.97739787951015,0.9997739787951015,0.24442554602387395,23.839924395570254,0.3414461697087113,13732,14.107832662118847
