step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,5,4,4,2,2,4,4,2,2,4,8,2,2,0,552,1,0,0,0,0,0,0,0,1.0177955740938605,99068.15000000001,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.020403333272262528,2.888465206645218,0.8310908634576408,97293,99.95582312813347
2,11,5,4,4,2,2,4,4,2,2,4,7,2,2,0,552,3,0,0,0,0,0,0,0,1.0354868098134298,100790.14412,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.03841720988140744,5.196411151363266,0.7294818630151126,97077,99.73391139968768
3,11,5,4,4,2,2,4,4,2,2,4,7,2,2,0,552,5,0,0,0,0,0,0,0,1.053006898825306,102495.47950406,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.05483118298317253,7.163752241916709,0.6595659107003546,96478,99.11851730089587
4,11,5,4,4,2,2,4,3,2,2,4,7,2,2,0,552,7,0,0,0,0,0,0,0,1.070361130618673,104184.67100989918,0.0,19.72441777383,True,99.98561683241554,0.9998561683241555,0.06997053945177165,8.88991140408047,0.6077282815124435,95283,97.89081121065176
5,11,5,4,4,2,2,4,3,2,2,4,7,2,2,0,552,9,0,0,0,0,0,0,0,1.0875448234601133,105857.26293631358,0.0,23.915715260158258,True,99.98664420152873,0.9998664420152873,0.08408530420167036,10.429636491956904,0.5673545241776994,93309,95.86278458124436
6,11,5,4,4,2,2,4,3,2,2,4,7,2,2,0,552,10,0,0,0,0,0,0,0,1.1045595093637313,107513.40440342815,0.0,27.918774926803334,True,99.97431577217063,0.9997431577217063,0.09734726992718575,11.818144959335237,0.5347952399556744,90435,92.91012574997946
7,11,5,4,4,2,2,4,3,2,2,4,7,2,2,0,552,11,0,0,0,0,0,0,0,1.1214080629013192,109153.37521056281,0.0,31.749462834228687,True,99.9753431412838,0.999753431412838,0.10987595628925172,13.080703970503722,0.5078381838314762,86572,88.9413988657845
8,11,5,4,4,2,2,4,3,2,3,3,7,1,2,0,552,13,0,0,0,0,0,0,0,1.138094903166303,110777.60549459528,0.0,35.42357632101625,True,99.97739787951015,0.9997739787951015,0.12175269758607765,14.236659714694992,0.48505327638185164,81679,83.91448179501931
9,11,5,4,4,2,2,4,3,2,3,3,7,1,2,0,552,15,0,0,0,0,0,0,0,1.1546179242382355,112385.89027365288,0.0,38.95562378837006,True,99.97431577217063,0.9997431577217063,0.13309872117091992,15.301399320829665,0.465459954030804,75898,77.97526095175475
10,11,5,3,4,2,2,4,3,2,3,3,7,1,2,0,552,17,0,0,0,0,0,0,0,1.1709815982343001,113978.66484573385,0.0,42.358411983660474,True,99.97637051039698,0.9997637051039697,0.14396197774132666,16.287435852433905,0.4483766883063012,69434,71.33434700419167
11,11,5,3,4,2,2,4,3,2,3,3,7,1,2,0,552,18,0,0,0,0,0,0,0,1.1871833405921783,115555.67763988026,0.0,45.64302475425594,True,99.9712336648311,0.999712336648311,0.15441838472126576,17.205083482079576,0.4333049965696452,62421,64.12940741349551
12,11,5,3,4,2,1,4,3,2,3,3,7,1,2,0,552,20,0,0,0,0,0,0,0,1.2032266897225363,117117.2730708328,0.0,48.81897152355655,True,99.97226103394428,0.9997226103394428,0.16450183165512158,18.062918919770322,0.41987450243804264,55158,56.667625544505626
13,11,5,3,4,2,1,4,4,2,3,3,7,1,2,0,552,22,0,0,0,0,0,0,0,1.2191091697706575,118663.21014879673,0.0,51.89439340095108,True,99.97637051039698,0.9997637051039697,0.17426408343054503,18.868119003261373,0.4078037553522389,47938,49.25002054738226
14,11,5,3,4,2,1,4,4,2,3,3,7,1,2,0,552,24,0,0,0,0,0,0,0,1.2348286816767984,120193.28455969284,0.0,54.876273719741086,True,99.97637051039698,0.9997637051039697,0.183756513966549,19.626719205059885,0.39687366610125324,41262,42.391304347826086
15,11,5,3,4,2,1,4,4,2,3,3,7,1,2,0,552,25,0,0,0,0,0,0,0,1.250389793153463,121707.94090638548,0.0,57.77063020125226,True,99.97739787951015,0.9997739787951015,0.19297177586259368,20.343817402265927,0.38691584452379446,35173,36.13565381770362
16,11,5,3,4,2,1,4,4,2,4,2,7,1,0,0,552,27,0,0,0,0,0,0,0,1.265807192354505,123208.6088750181,0.0,60.582681020702246,True,99.97637051039698,0.9997637051039697,0.20191699694038948,21.023737397623165,0.37779174563740014,29971,30.79127969096737
17,11,5,3,4,2,1,4,4,2,2,4,7,1,0,0,552,28,0,0,0,0,0,0,0,1.2810704552465744,124694.27383188056,0.0,63.31698412385874,True,99.97842524862332,0.9997842524862333,0.21064200530705326,21.670161584384914,0.36939186072318747,25494,26.19174817128298
18,11,6,3,4,2,1,4,4,2,3,3,7,1,0,0,552,30,0,0,0,0,0,0,0,1.2961834774284928,126165.31495897978,0.0,65.97755215262909,True,99.97739787951015,0.9997739787951015,0.21931705193743659,22.286239307261766,0.3616280077454315,21702,22.29596449412345
19,11,6,3,4,2,1,4,3,2,6,0,7,1,0,0,552,32,0,0,0,0,0,0,0,1.311143563153593,127621.46986311814,0.0,68.56794635182987,True,99.97637051039698,0.9997637051039697,0.22795116841600158,22.874675755757853,0.35442571551340857,18674,19.185090819429604
20,11,6,3,4,2,1,4,3,2,6,0,7,1,0,0,552,34,0,0,0,0,0,0,0,1.3259542616672053,129063.08401363909,0.0,71.09135291366964,True,99.97637051039698,0.9997637051039697,0.23639137193049484,23.437805103696956,0.3477199033895411,16546,16.998849346593246
21,11,6,3,4,2,1,4,3,2,5,2,7,1,0,0,552,36,0,0,0,0,0,0,0,1.340618033849578,130490.3969427825,0.0,73.55064490719903,True,99.97637051039698,0.9997637051039697,0.2446668496594094,23.977650821263197,0.34145731751540753,15014,15.424919865209171
22,11,6,3,4,2,1,4,3,2,5,2,7,1,0,0,552,38,0,0,0,0,0,0,0,1.3551299862290918,131902.93233959487,0.0,75.94843249898422,True,99.97637051039698,0.9997637051039697,0.2527948478685468,24.495975502446147,0.3355941328099059,13734,14.109887400345198
