step,tumor_cells,cytotoxic_t_cells,cd8_naive,cd4_naive,th1,th2,treg,dendritic,pdc,m1,m2,nk,mast,neutrophil,adipocyte,blood,sex_hormone,apoptosis_count,m1_kills,dc_kills,pdc_kills,ctc_kills,nkl_kills,neutrophil_kills,mean_glucose,total_glucose,min_glucose,max_glucose,glucose_presence_confirmed,glucose_coverage_percent,glucose_detection_confidence,glucose_gradient_mean_magnitude,glucose_gradient_max_magnitude,glucose_gradient_uniformity,glucose_hotspots_count,glucose_hotspots_coverage
0,11,4,4,4,2,2,4,4,2,2,4,8,2,2,0,552,0,0,0,0,0,0,0,0,1.0,97336.0,1.0,1.0,True,100.0,1.0,0.0,0.0,1.0,97336,100.0
1,11,4,4,4,2,2,4,4,2,5,1,8,2,2,0,552,1,0,0,0,0,0,0,0,1.0177955740938607,99068.15000000002,0.0,5.9399999999999995,True,99.98869893975507,0.9998869893975507,0.02040037487573745,2.8001428534987283,0.831131713877134,97294,99.95685049724665
2,11,4,4,4,2,2,4,4,2,4,2,8,2,2,0,552,2,0,0,0,0,0,0,0,1.03548680981343,100790.14412000001,0.0,10.73259,True,99.98869893975507,0.9998869893975507,0.03842110904859615,5.087159529093815,0.729498360634589,97074,99.73082929234816
3,11,4,3,4,2,2,4,4,2,3,3,8,2,2,0,552,4,0,0,0,0,0,0,0,1.053012035670872,102495.97950406,0.0,15.33170925,True,99.98869893975507,0.9998869893975507,0.05482656928765821,7.011684061607079,0.659575963528494,96459,99.09899728774553
4,11,3,3,3,2,2,5,4,2,3,3,8,2,2,0,552,5,0,0,0,0,0,0,0,1.0703709392738419,104185.62574515867,0.0,19.72441777383,True,99.98664420152873,0.9998664420152873,0.0699524246394087,8.672435525840584,0.6077368229163777,95246,97.8527985534643
5,11,3,3,3,2,2,5,4,2,3,3,8,2,2,0,552,6,0,0,0,0,0,0,0,1.087559670874296,105858.70812422047,0.0,23.915715260158258,True,99.98664420152873,0.9998664420152873,0.08405913891340584,10.134445983101788,0.5673591082784224,93265,95.81758034026466
6,11,2,3,3,2,2,5,4,2,3,3,8,2,2,0,552,7,0,0,0,0,0,0,0,1.104583424257217,107515.73218350047,0.0,27.918774926803334,True,99.97328840305745,0.9997328840305745,0.0972909799062265,11.441586048889723,0.5347986929216814,90345,92.81766252979371
7,11,2,4,3,2,2,5,4,2,3,3,8,2,2,0,552,7,0,0,0,0,0,0,0,1.1214376113873221,109156.2513419964,0.0,31.749462834228687,True,99.97328840305745,0.9997328840305745,0.10981566990969764,12.776596355110973,0.5078420760539464,86386,88.75030821073395
8,11,2,4,2,2,2,5,4,2,3,3,8,2,2,0,552,8,0,0,0,0,0,0,0,1.1381244246687199,110780.47899955453,0.0,35.42357632101625,True,99.97637051039698,0.9997637051039697,0.12169909628486451,13.801947277562082,0.48505303970563823,81365,83.59188789348238
9,10,2,4,2,2,2,5,4,2,3,3,8,2,2,0,552,10,0,0,1,0,0,0,0,1.1546494962881075,112388.96337069923,0.0,38.95562378837006,True,99.97637051039698,0.9997637051039697,0.13304503112622823,14.8617369318455,0.465459501437616,75293,77.35370263828388
10,10,2,4,1,2,2,6,4,2,3,3,8,2,2,0,552,11,0,0,1,0,0,0,0,1.1710165730321653,113982.06915265883,0.0,42.358411983660474,True,99.97431577217063,0.9997431577217063,0.1439180862790024,15.844065839816155,0.44837707749036343,68306,70.17547464453028
11,10,2,5,1,2,2,6,4,2,4,2,8,2,2,0,552,13,0,0,1,0,0,0,0,1.1872173282461782,115558.98586217,0.0,45.64302475425594,True,99.97328840305745,0.9997328840305745,0.15439419166591764,16.758900354893036,0.4333061429277837,60711,62.3726062299663
12,10,1,5,1,2,2,6,4,2,4,2,8,2,2,0,552,14,0,0,1,0,0,0,0,1.2032604285044268,117120.55706890688,0.0,48.81897152355655,True,99.97637051039698,0.9997637051039697,0.16448568871558,17.6145823862736,0.419876988262018,53212,54.668365250267115
13,10,1,5,1,2,2,6,4,2,5,1,8,2,2,0,552,15,0,0,1,0,0,0,0,1.2191429480051292,118666.49798702725,0.0,51.89439340095108,True,99.97739787951015,0.9997739787951015,0.17424536078202243,18.41812557942828,0.4078051808937915,45929,47.186035999013725
14,10,1,7,1,2,2,6,4,2,6,1,8,2,2,0,552,15,0,0,1,0,0,0,0,1.234855948513018,120195.93860446311,0.0,54.876273719741086,True,99.9794526177365,0.999794526177365,0.1837517400992913,19.175449006888524,0.39687603069443766,39000,40.06739541382428
15,10,1,7,1,2,3,6,4,2,4,2,8,2,2,0,552,16,0,0,1,0,0,0,0,1.2504110845778198,121710.01332846667,0.0,57.77063020125226,True,99.9794526177365,0.999794526177365,0.19298275178134128,19.891565634939525,0.38691803292461174,32667,33.56106682008712
16,10,1,7,1,2,3,6,4,2,4,2,7,2,0,0,552,18,0,0,1,0,0,0,0,1.2658294330998145,123210.77370020356,0.0,60.582681020702246,True,99.9794526177365,0.999794526177365,0.2019129535160833,20.570736101374006,0.37779401381378086,27108,27.849921919947402
17,10,1,7,1,2,3,6,4,2,3,3,7,2,0,0,552,19,0,0,1,0,0,0,0,1.2810942177164986,124696.5867756531,0.0,63.31698412385874,True,99.97637051039698,0.9997637051039697,0.21064036733747482,21.216595002292294,0.3693936337378145,22614,23.232925125339033
18,10,1,7,1,2,3,6,4,2,3,3,7,2,0,0,552,19,0,0,1,0,0,0,0,1.2962080601899704,126167.70774665095,0.0,65.97755215262909,True,99.97637051039698,0.9997637051039697,0.21930716044873896,21.832254969975136,0.36163006781574336,19138,19.661790087942794
19,10,1,7,1,2,3,6,4,2,4,2,7,2,0,0,552,20,0,0,1,0,0,0,0,1.3111694158726968,127623.98626338481,0.0,68.56794635182987,True,99.97842524862332,0.9997842524862333,0.22793257802099154,22.420392623487256,0.3544276749582368,16440,16.889948220596697
20,10,1,7,1,2,3,6,4,2,5,1,7,2,0,0,552,21,0,0,1,0,0,0,0,1.3259786417588253,129065.45707423703,0.0,71.09135291366964,True,99.97739787951015,0.9997739787951015,0.2363878994456317,22.983319644417048,0.34772179229155575,14371,14.76432152543766
21,9,1,7,1,2,3,5,4,2,5,1,6,2,0,0,552,22,0,0,2,0,0,0,0,1.3406521295389826,130493.71568080642,0.0,73.55064490719903,True,99.9794526177365,0.999794526177365,0.24464281754240608,23.523041614597634,0.3414591135333146,12793,13.14313306484754
22,9,1,7,1,2,3,5,4,1,5,1,6,2,0,0,552,23,0,0,2,0,0,0,0,1.3551804287197493,131907.8422098655,0.0,75.94843249898422,True,99.98150735596285,0.9998150735596285,0.2527354381415884,24.041306772646692,0.33559556196314755,11576,11.892824854113586
23,9,1,7,1,2,3,5,4,1,5,1,6,2,0,0,552,24,0,0,2,0,0,0,0,1.3695628835360973,133307.77283186957,0.0,78.28710372013674,True,99.98356209418921,0.9998356209418922,0.2606711398349846,24.5396464608171,0.33009197613057867,10803,11.098668529629325
24,9,1,7,1,2,3,5,4,1,6,0,6,2,0,0,552,25,0,0,2,0,0,0,0,1.3838039337496064,134693.9396954517,0.0,80.56885762485756,True,99.97739787951015,0.9997739787951015,0.26846877565040084,25.019408719455885,0.32491483759326795,10126,10.403139640009863
25,9,1,7,1,2,2,5,5,1,5,1,6,2,0,0,552,26,0,0,2,0,0,0,0,1.3979031194723215,136066.2980369579,0.0,82.79573133384598,True,99.9794526177365,0.999794526177365,0.27612511506656634,25.481786228347755,0.320036031909315,9823,10.091846798717844
26,9,1,7,1,2,2,5,5,1,5,1,6,2,0,0,552,27,0,0,2,0,0,0,0,1.4118565526040598,137424.46940426878,0.0,84.9696221634275,True,99.98047998684967,0.9998047998684967,0.28365472407622366,25.92783958174017,0.31542981418538485,9744,10.01068463877702
27,9,1,7,1,2,2,5,5,1,4,2,6,2,0,0,552,28,0,0,2,0,0,0,0,1.4256739945509045,138769.40393360684,0.0,87.09230580253812,True,99.9753431412838,0.999753431412838,0.29105420954986405,26.35851670885724,0.31107318865646766,9738,10.004520424097969
28,9,1,7,1,2,2,5,5,1,4,2,6,2,0,0,552,28,0,0,2,0,0,0,0,1.4393589115769043,140101.43901724956,0.0,89.16545130704363,True,99.97431577217063,0.9997431577217063,0.29831445827408326,26.774669107671798,0.30694700291519894,9735,10.001438316758444
29,9,1,7,1,2,2,5,5,1,4,2,6,2,0,0,552,29,0,0,2,0,0,0,0,1.4528932765352156,141418.81996483175,0.0,91.19063352642314,True,99.98253472507602,0.9998253472507602,0.3054864349335289,27.177065441272163,0.3030337259080469,9734,10.000410947645271
